copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0182,1,1,4,1,4,1,4,35.831,926
0183,1,1,4,1,4,2,1,35.497,985
0184,1,1,4,1,4,2,2,35.079,1007
0185,1,1,4,1,4,2,4,35.402,999
0186,1,1,4,1,4,4,1,35.158,1090
0187,1,1,4,1,4,4,2,35.693,1102
0188,1,1,4,1,4,4,4,36.479,1104
0189,1,1,4,2,1,1,1,35.372,934
0190,1,1,4,2,1,1,2,35.644,903
0191,1,1,4,2,1,1,4,34.497,952
0192,1,1,4,2,1,2,1,34.908,972
0193,1,1,4,2,1,2,2,36.486,942
0194,1,1,4,2,1,2,4,35.051,982
0195,1,1,4,2,1,4,1,35.144,1090
0196,1,1,4,2,1,4,2,35.173,1054
0197,1,1,4,2,1,4,4,34.933,1070
0198,1,1,4,2,2,1,1,33.009,1012
0199,1,1,4,2,2,1,2,34.229,986
0200,1,1,4,2,2,1,4,32.770,1016
0201,1,1,4,2,2,2,1,33.575,1068
0202,1,1,4,2,2,2,2,33.214,1055
0203,1,1,4,2,2,2,4,32.965,1044
0204,1,1,4,2,2,4,1,33.944,1207
0205,1,1,4,2,2,4,2,33.924,1164
0206,1,1,4,2,2,4,4,33.147,1157
0207,1,1,4,2,4,1,1,33.083,1160
0208,1,1,4,2,4,1,2,33.467,1126
0209,1,1,4,2,4,1,4,33.073,1153
0210,1,1,4,2,4,2,1,32.767,1152
0211,1,1,4,2,4,2,2,32.905,1187
0212,1,1,4,2,4,2,4,32.848,1203
0213,1,1,4,2,4,4,1,33.971,1239
0214,1,1,4,2,4,4,2,33.565,1261
0215,1,1,4,2,4,4,4,32.605,1232
0216,1,1,4,4,1,1,1,34.366,1050
0217,1,1,4,4,1,1,2,33.954,1079
0218,1,1,4,4,1,1,4,33.964,1074
0219,1,1,4,4,1,2,1,33.641,1118
0220,1,1,4,4,1,2,2,34.300,1134
0221,1,1,4,4,1,2,4,34.324,1091
0222,1,1,4,4,1,4,1,34.126,1229
0223,1,1,4,4,1,4,2,33.734,1223
0224,1,1,4,4,1,4,4,34.469,1234
0225,1,1,4,4,2,1,1,30.367,1196
0226,1,1,4,4,2,1,2,30.185,1237
0227,1,1,4,4,2,1,4,31.057,1222
0228,1,1,4,4,2,2,1,30.106,1318
0229,1,1,4,4,2,2,2,29.883,1261
0230,1,1,4,4,2,2,4,29.769,1314
0231,1,1,4,4,2,4,1,30.688,1346
0232,1,1,4,4,2,4,2,30.489,1414
0233,1,1,4,4,2,4,4,30.148,1356
0234,1,1,4,4,4,1,1,30.079,1307
0235,1,1,4,4,4,1,2,30.016,1303
0236,1,1,4,4,4,1,4,29.893,1231
0237,1,1,4,4,4,2,1,30.842,1248
0238,1,1,4,4,4,2,2,30.951,1282
0239,1,1,4,4,4,2,4,30.183,1304
0240,1,1,4,4,4,4,1,30.108,1384
0241,1,1,4,4,4,4,2,30.559,1376
0242,1,1,4,4,4,4,4,30.303,1403
0243,1,4,1,1,1,1,1,35.981,1153
0244,1,4,1,1,1,1,2,36.265,1154
0245,1,4,1,1,1,1,4,35.871,1198
0246,1,4,1,1,1,2,1,36.130,1264
0247,1,4,1,1,1,2,2,38.196,1250
0248,1,4,1,1,1,2,4,37.788,1200
0249,1,4,1,1,1,4,1,36.676,1369
0250,1,4,1,1,1,4,2,36.875,1332
0251,1,4,1,1,1,4,4,37.915,1346
0252,1,4,1,1,2,1,1,34.774,1227
0253,1,4,1,1,2,1,2,35.202,1180
0254,1,4,1,1,2,1,4,35.619,1214
0255,1,4,1,1,2,2,1,35.112,1293
0256,1,4,1,1,2,2,2,35.728,1318
0257,1,4,1,1,2,2,4,35.046,1288
0258,1,4,1,1,2,4,1,35.920,1415
0259,1,4,1,1,2,4,2,34.534,1422
0260,1,4,1,1,2,4,4,35.567,1376
0261,1,4,1,1,4,1,1,34.349,1326
0262,1,4,1,1,4,1,2,34.721,1291
0263,1,4,1,1,4,1,4,34.835,1290
0264,1,4,1,1,4,2,1,34.380,1390
0265,1,4,1,1,4,2,2,34.283,1359
0266,1,4,1,1,4,2,4,34.460,1307
0267,1,4,1,1,4,4,1,34.548,1460
0268,1,4,1,1,4,4,2,35.221,1491
0269,1,4,1,1,4,4,4,34.632,1454
0270,1,4,1,2,1,1,1,34.537,1259
0271,1,4,1,2,1,1,2,34.111,1293
0272,1,4,1,2,1,1,4,33.965,1327
0273,1,4,1,2,1,2,1,34.242,1328
0274,1,4,1,2,1,2,2,33.995,1420
0275,1,4,1,2,1,2,4,34.328,1332
0276,1,4,1,2,1,4,1,34.197,1546
0277,1,4,1,2,1,4,2,33.453,1533
0278,1,4,1,2,1,4,4,33.352,1522
0279,1,4,1,2,2,1,1,31.263,1349
0280,1,4,1,2,2,1,2,31.486,1326
0281,1,4,1,2,2,1,4,31.186,1380
0283,1,4,1,2,2,2,2,31.698,1442
0284,1,4,1,2,2,2,4,31.252,1422
0285,1,4,1,2,2,4,1,32.126,1513
0286,1,4,1,2,2,4,2,31.618,1564
0287,1,4,1,2,2,4,4,31.730,1586
0288,1,4,1,2,4,1,1,31.289,1584
0289,1,4,1,2,4,1,2,31.220,1595
0290,1,4,1,2,4,1,4,31.109,1568
0291,1,4,1,2,4,2,1,32.111,1698
0292,1,4,1,2,4,2,2,31.483,1707
0293,1,4,1,2,4,2,4,32.288,1686
0294,1,4,1,2,4,4,1,32.086,1787
0295,1,4,1,2,4,4,2,31.894,1784
0296,1,4,1,2,4,4,4,32.053,1823
0297,1,4,1,4,1,1,1,31.063,1544
0298,1,4,1,4,1,1,2,31.143,1413
0299,1,4,1,4,1,1,4,31.289,1523
0300,1,4,1,4,1,2,1,30.696,1638
0301,1,4,1,4,1,2,2,30.294,1615
0302,1,4,1,4,1,2,4,30.189,1633
0303,1,4,1,4,1,4,1,31.489,1759
0304,1,4,1,4,1,4,2,30.460,1741
0305,1,4,1,4,1,4,4,29.472,1767
0306,1,4,1,4,2,1,1,28.124,1626
0307,1,4,1,4,2,1,2,26.089,1675
0308,1,4,1,4,2,1,4,27.577,1663
0309,1,4,1,4,2,2,1,26.803,1696
0310,1,4,1,4,2,2,2,28.089,1749
0311,1,4,1,4,2,2,4,27.925,1718
0312,1,4,1,4,2,4,1,27.239,1892
0313,1,4,1,4,2,4,2,27.219,1858
0314,1,4,1,4,2,4,4,27.366,1847
0315,1,4,1,4,4,1,1,29.312,1701
0316,1,4,1,4,4,1,2,29.774,1749
0317,1,4,1,4,4,1,4,28.276,1786
0318,1,4,1,4,4,2,1,28.461,1888
0319,1,4,1,4,4,2,2,29.224,1834
0320,1,4,1,4,4,2,4,29.206,1805
0321,1,4,1,4,4,4,1,28.723,1983
0322,1,4,1,4,4,4,2,29.657,1946
0323,1,4,1,4,4,4,4,29.503,1980
0324,1,4,2,1,1,1,1,35.485,1187
0325,1,4,2,1,1,1,2,36.891,1202
0326,1,4,2,1,1,1,4,36.069,1210
0327,1,4,2,1,1,2,1,37.015,1294
0329,1,4,2,1,1,2,4,35.852,1262
0330,1,4,2,1,1,4,1,36.122,1362
0331,1,4,2,1,1,4,2,36.257,1427
0332,1,4,2,1,1,4,4,36.628,1421
0333,1,4,2,1,2,1,1,35.430,1256
0334,1,4,2,1,2,1,2,34.513,1222
0335,1,4,2,1,2,1,4,35.701,1235
0336,1,4,2,1,2,2,1,35.039,1397
0337,1,4,2,1,2,2,2,34.799,1299
0338,1,4,2,1,2,2,4,35.235,1343
0339,1,4,2,1,2,4,1,35.141,1470
0340,1,4,2,1,2,4,2,35.882,1449
0341,1,4,2,1,2,4,4,35.137,1421
0342,1,4,2,1,4,1,1,34.520,1374
0343,1,4,2,1,4,1,2,34.788,1361
0344,1,4,2,1,4,1,4,34.415,1340
0345,1,4,2,1,4,2,1,35.025,1362
0346,1,4,2,1,4,2,2,34.770,1394
0347,1,4,2,1,4,2,4,34.380,1386
0348,1,4,2,1,4,4,1,34.474,1523
0349,1,4,2,1,4,4,2,34.457,1487
0350,1,4,2,1,4,4,4,34.520,1498
0351,1,4,2,2,1,1,1,33.907,1295
0352,1,4,2,2,1,1,2,34.101,1336
0353,1,4,2,2,1,1,4,33.830,1285
0354,1,4,2,2,1,2,1,34.173,1407
0355,1,4,2,2,1,2,2,32.992,1425
0356,1,4,2,2,1,2,4,33.873,1389
0357,1,4,2,2,1,4,1,33.401,1560
0358,1,4,2,2,1,4,2,33.978,1617
0359,1,4,2,2,1,4,4,34.026,1548
0360,1,4,2,2,2,1,1,31.489,1377
0361,1,4,2,2,2,1,2,30.936,1442
0362,1,4,2,2,2,1,4,30.919,1367
0363,1,4,2,2,2,2,1,32.202,1463
0364,1,4,2,2,2,2,2,32.865,1420
0365,1,4,2,2,2,2,4,31.347,1467
0366,1,4,2,2,2,4,1,31.683,1613
0367,1,4,2,2,2,4,2,30.967,1619
0368,1,4,2,2,2,4,4,31.486,1591
0369,1,4,2,2,4,1,1,31.335,1600
0370,1,4,2,2,4,1,2,31.422,1636
0371,1,4,2,2,4,1,4,32.585,1637
0372,1,4,2,2,4,2,1,30.597,1718
0373,1,4,2,2,4,2,2,31.115,1678
0374,1,4,2,2,4,2,4,30.583,1679
0375,1,4,2,2,4,4,1,30.984,1872
0376,1,4,2,2,4,4,2,31.801,1824
0377,1,4,2,2,4,4,4,31.837,1822
0378,1,4,2,4,1,1,1,30.649,1549
0379,1,4,2,4,1,1,2,31.574,1563
0380,1,4,2,4,1,1,4,30.457,1602
0381,1,4,2,4,1,2,1,29.982,1614
0382,1,4,2,4,1,2,2,29.639,1566
0383,1,4,2,4,1,2,4,30.699,1652
