design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0197,1,4,4,1,2,1,1,2,41.740,1525
0198,1,4,4,1,2,1,2,1,42.338,1508
0199,1,4,4,1,2,1,2,2,42.754,1567
0200,1,4,4,2,1,1,1,1,32.260,1376
0201,1,4,4,2,1,1,1,2,32.589,1431
0202,1,4,4,2,1,1,2,1,33.555,1405
0203,1,4,4,2,1,1,2,2,33.191,1467
0204,1,4,4,2,2,1,1,1,31.225,1493
0205,1,4,4,2,2,1,1,2,31.419,1671
0206,1,4,4,2,2,1,2,1,32.997,1631
0207,1,4,4,2,2,1,2,2,32.208,1768
0208,1,4,4,4,1,1,1,1,31.421,1397
0209,1,4,4,4,1,1,1,2,30.921,1541
0210,1,4,4,4,1,1,2,1,33.027,1473
0211,1,4,4,4,1,1,2,2,32.175,1612
0212,1,4,4,4,2,1,1,1,31.259,1587
0213,1,4,4,4,2,1,1,2,31.181,1773
0214,1,4,4,4,2,1,2,1,32.153,1688
0215,1,4,4,4,2,1,2,2,32.081,1814
0216,1,8,1,1,1,1,1,1,22.942,1290
0217,1,8,1,1,1,1,1,2,22.633,1402
0218,1,8,1,1,1,1,2,1,23.454,1385
0219,1,8,1,1,1,1,2,2,22.503,1499
0220,1,8,1,1,2,1,1,1,23.556,1448
0221,1,8,1,1,2,1,1,2,23.045,1560
0222,1,8,1,1,2,1,2,1,24.030,1505
0223,1,8,1,1,2,1,2,2,23.495,1606
0224,1,8,1,2,1,1,1,1,22.427,1323
0225,1,8,1,2,1,1,1,2,23.586,1465
0226,1,8,1,2,1,1,2,1,23.259,1394
0227,1,8,1,2,1,1,2,2,22.660,1476
0228,1,8,1,2,2,1,1,1,23.347,1419
0229,1,8,1,2,2,1,1,2,22.646,1459
0230,1,8,1,2,2,1,2,1,23.870,1442
0231,1,8,1,2,2,1,2,2,23.437,1614
0232,1,8,1,4,1,1,1,1,22.015,1308
0233,1,8,1,4,1,1,1,2,23.035,1456
0234,1,8,1,4,1,1,2,1,23.644,1417
0235,1,8,1,4,1,1,2,2,22.915,1491
0236,1,8,1,4,2,1,1,1,22.738,1483
0237,1,8,1,4,2,1,1,2,23.296,1582
0238,1,8,1,4,2,1,2,1,22.889,1576
0239,1,8,1,4,2,1,2,2,22.643,1709
0240,1,8,2,1,1,1,1,1,27.597,1466
0241,1,8,2,1,1,1,1,2,26.903,1532
0242,1,8,2,1,1,1,2,1,27.590,1659
0243,1,8,2,1,1,1,2,2,27.582,1651
0244,1,8,2,1,2,1,1,1,26.813,1535
0245,1,8,2,1,2,1,1,2,27.137,1662
0246,1,8,2,1,2,1,2,1,27.682,1629
0247,1,8,2,1,2,1,2,2,28.176,1835
0248,1,8,2,2,1,1,1,1,26.970,1363
0249,1,8,2,2,1,1,1,2,27.911,1472
0250,1,8,2,2,1,1,2,1,27.324,1509
0251,1,8,2,2,1,1,2,2,27.462,1615
0252,1,8,2,2,2,1,1,1,26.674,1500
0253,1,8,2,2,2,1,1,2,27.126,1585
0254,1,8,2,2,2,1,2,1,28.207,1598
0255,1,8,2,2,2,1,2,2,27.640,1669
0256,1,8,2,4,1,1,1,1,23.243,1532
0257,1,8,2,4,1,1,1,2,23.433,1617
0258,1,8,2,4,1,1,2,1,23.720,1521
0259,1,8,2,4,1,1,2,2,23.499,1701
0260,1,8,2,4,2,1,1,1,22.680,1601
0261,1,8,2,4,2,1,1,2,22.912,1781
0262,1,8,2,4,2,1,2,1,22.889,1708
0263,1,8,2,4,2,1,2,2,23.058,1855
0264,1,8,4,1,1,1,1,1,26.818,1707
0265,1,8,4,1,1,1,1,2,26.703,1788
0266,1,8,4,1,1,1,2,1,28.559,1830
0267,1,8,4,1,1,1,2,2,27.789,1871
